year,in_area_short,in_cnt
2023,41830,2
2023,43111,4
2023,43112,9
2023,43113,17
2023,43114,9
2023,43130,12
2023,43150,8
2023,43720,2
2023,43730,4
2023,43740,10
2023,43745,4
2023,43750,2
2023,43760,1
2023,43770,6
2023,43800,2
2023,44131,18
2023,44133,26
2023,44150,6
2023,44180,6
2023,44200,20
2023,44210,6
2023,44230,6
2023,44250,10
2023,44270,9
2023,44710,1
2023,44760,2
2023,44770,4
2023,44790,2
2023,44800,6
2023,44810,4
2023,44825,4
2023,45111,6
2023,45113,6
2023,45130,9
2023,45140,2
2023,45180,2
2023,45190,3
2023,45710,2
2023,45720,1
2023,45730,3
2023,46110,1
2023,46130,6
2023,46150,6
2023,46170,3
2023,46230,5
2023,46720,1
2023,46780,1
2023,46810,1
2023,46830,1
2023,46840,1
2023,46860,1
2023,46870,4
2023,46880,8
2023,46890,2
2023,46910,1
2023,47111,131
2023,47113,126
2023,47130,234
2023,47150,41
2023,47170,74
2023,47190,179
2023,47210,30
2023,47250,18
2023,47280,21
2023,47290,1107
2023,47720,4
2023,47730,34
2023,47750,30
2023,47760,7
2023,47770,12
2023,47820,20
2023,47830,18
2023,47840,22
2023,47850,51
2023,47900,19
2023,47920,5
2023,47930,20
2023,47940,17
2023,48121,22
2023,48123,11
2023,48125,12
2023,48127,9
2023,48129,24
2023,48170,18
2023,48220,3
2023,48240,6
2023,48250,54
2023,48270,22
2023,48310,18
2023,48330,58
2023,48720,4
2023,48730,7
2023,48740,9
2023,48820,2
2023,48840,2
2023,48850,2
2023,48860,1
2023,48870,1
2023,48880,5
2023,48890,10
2023,50110,10
2023,50130,13
2023,51110,11
2023,51130,19
2023,51150,9
2023,51170,4
2023,51190,1
2023,51210,3
2023,51230,5
2023,51720,7
2023,51730,2
2023,51750,3
2023,51760,3
2023,51780,7
2023,51790,4
2023,51800,9
2023,51810,17
2023,51820,4
2024,11110,8
2024,11140,8
2024,11170,8
2024,11200,10
2024,11215,17
2024,11230,17
2024,11260,9
2024,11290,13
2024,11305,10
2024,11320,8
2024,11350,22
2024,11380,8
2024,11410,20
2024,11440,18
2024,11470,9
2024,11500,23
2024,11530,11
2024,11545,11
2024,11560,17
2024,11590,36
